n_evals,hv_all
20,0.0
40,0.0
60,0.0
80,0.05565084730551489
100,0.27763630884351
120,0.27763630884351
140,0.31726240610019035
160,0.31726240610019035
180,0.3272417229514123
200,0.3272417229514123
220,0.3272417229514123
240,0.336227073119889
260,0.34469774684623766
280,0.34469774684623766
300,0.34469774684623766
320,0.34469774684623766
340,0.34469774684623766
360,0.34469774684623766
380,0.3472491029627987
400,0.3472491029627987
420,0.3472491029627987
440,0.3472491029627987
460,0.3472491029627987
480,0.3472491029627987
500,0.3472491029627987
520,0.3472491029627987
